episode,ep_reward,ep_length,reached_goal,trap_hits,traffic_hits,pg_loss,vf_loss,entropy,clip_frac,lr,ent_coef,eval_avg_reward,eval_success_rate,eval_avg_trap_hits,eval_avg_traffic_hits
1,-45.9,10,0,1,0,-0.0095,112.9043,0.9535,0.000,0.000300,0.01999,,,,
2,-50.2,3,0,1,0,0.0000,0.0000,0.0000,0.000,0.000300,0.01998,,,,
3,106.3,28,1,0,0,-0.0021,40.0516,0.9220,0.000,0.000300,0.01997,,,,
4,-50.0,1,0,1,0,0.0000,0.0000,0.0000,0.000,0.000299,0.01996,,,,
5,-49.1,2,0,1,0,0.0000,0.0000,0.0000,0.000,0.000299,0.01995,,,,
6,-48.7,15,0,1,1,-0.0038,78.1809,0.8582,0.000,0.000299,0.01994,,,,
7,106.9,22,1,0,0,-0.0019,30.8365,0.9694,0.000,0.000299,0.01993,,,,
8,86.5,46,1,0,0,0.0022,25.4790,1.0540,0.000,0.000299,0.01992,,,,
9,-61.3,24,0,1,0,-0.0064,48.9601,1.0776,0.000,0.000299,0.01991,,,,
10,92.3,45,1,0,3,-0.0002,15.4456,0.9853,0.000,0.000299,0.01990,,,,
11,-52.2,43,0,1,0,-0.0131,35.3060,1.0963,0.000,0.000299,0.01990,,,,
12,109.0,11,1,0,0,-0.0077,57.5155,0.9346,0.000,0.000298,0.01989,,,,
13,95.0,28,1,0,2,-0.0032,21.9990,1.0880,0.000,0.000298,0.01988,,,,
14,-49.1,22,0,1,0,0.0003,56.8600,1.1474,0.000,0.000298,0.01987,,,,
15,-115.5,200,0,0,25,-0.0374,36.2386,1.1042,0.039,0.000298,0.01986,,,,
16,-48.8,29,0,1,0,-0.0104,47.4266,1.1423,0.000,0.000298,0.01985,,,,
17,-107.7,200,0,0,17,-0.0118,35.5276,1.0963,0.174,0.000298,0.01984,,,,
18,-60.8,29,0,1,0,-0.0009,43.9146,1.0444,0.000,0.000298,0.01983,,,,
19,-62.0,200,0,0,0,0.0456,9.0100,1.0917,0.036,0.000297,0.01982,,,,
20,-69.2,50,0,1,3,-0.0015,29.9408,1.1034,0.000,0.000297,0.01981,,,,
21,-51.1,2,0,1,0,0.0000,0.0000,0.0000,0.000,0.000297,0.01980,,,,
22,-85.0,99,0,1,7,-0.0308,22.3075,1.0704,0.022,0.000297,0.01979,,,,
23,-114.3,142,0,1,11,0.0113,38.8840,0.9384,0.064,0.000297,0.01978,,,,
24,-86.3,85,0,1,8,-0.0501,25.1996,1.0852,0.000,0.000297,0.01977,,,,
25,-63.7,22,0,1,4,-0.0036,52.7806,1.2396,0.000,0.000297,0.01976,,,,
26,-43.7,8,0,1,0,-0.0005,192.8890,1.1348,0.000,0.000296,0.01975,,,,
27,-57.8,200,0,0,8,-0.0184,9.0529,1.1087,0.002,0.000296,0.01974,,,,
28,-49.1,2,0,1,0,0.0000,0.0000,0.0000,0.000,0.000296,0.01973,,,,
29,-101.4,89,0,1,6,0.0008,47.3445,0.8474,0.000,0.000296,0.01972,,,,
