episode,ep_reward,ep_length,reached_goal,trap_hits,traffic_hits,pg_loss,vf_loss,entropy,clip_frac,lr,ent_coef,eval_avg_reward,eval_success_rate,eval_avg_trap_hits,eval_avg_traffic_hits
1,72.8,35,1,0,8,-0.0019,52.2525,1.1678,0.000,0.000300,0.01999,,,,
2,100.9,2,1,0,0,0.0000,0.0000,0.0000,0.000,0.000300,0.01998,,,,
3,100.0,1,1,0,0,0.0000,0.0000,0.0000,0.000,0.000300,0.01997,,,,
4,52.0,144,1,0,7,-0.0330,10.1566,1.1965,0.039,0.000299,0.01996,,,,
5,-73.6,43,0,1,6,-0.0021,35.1844,1.2101,0.000,0.000299,0.01995,,,,
6,-49.0,24,0,1,0,-0.0062,60.6039,1.0238,0.000,0.000299,0.01994,,,,
7,-73.4,47,0,1,3,-0.0052,37.6419,0.7641,0.000,0.000299,0.01993,,,,
8,-65.2,22,0,1,3,-0.0168,47.2569,0.8013,0.023,0.000299,0.01992,,,,
9,-12.0,181,1,0,17,0.0046,51.5706,1.0165,0.064,0.000299,0.01991,,,,
10,-52.0,17,0,1,0,0.0010,64.8098,1.1067,0.000,0.000299,0.01990,,,,
11,-58.7,30,0,1,0,-0.0018,50.5992,0.8865,0.000,0.000299,0.01990,,,,
12,-101.6,200,0,0,12,-0.0555,24.3446,0.8863,0.007,0.000298,0.01989,,,,
13,-48.5,7,0,1,0,0.0000,0.0000,0.0000,0.000,0.000298,0.01988,,,,
14,102.1,10,1,0,0,0.0016,45.8919,1.1538,0.000,0.000298,0.01987,,,,
15,101.8,3,1,0,0,0.0000,0.0000,0.0000,0.000,0.000298,0.01986,,,,
16,-86.8,126,0,1,0,-0.0067,15.3918,0.8511,0.008,0.000298,0.01985,,,,
17,65.3,125,1,0,0,-0.0036,12.8879,0.8163,0.012,0.000298,0.01984,,,,
18,-53.9,15,0,1,0,0.0002,84.0395,1.0526,0.000,0.000298,0.01983,,,,
19,-80.0,70,0,1,4,-0.0050,35.5983,0.4565,0.000,0.000297,0.01982,,,,
20,15.1,161,1,0,12,0.0030,66.8421,0.9340,0.000,0.000297,0.01981,,,,
21,86.8,49,1,0,0,-0.0040,153.7494,1.2054,0.000,0.000297,0.01980,,,,
22,-80.3,200,0,0,0,-0.0223,9.6063,0.8450,0.067,0.000297,0.01979,,,,
23,-82.0,111,0,1,0,-0.0038,16.9358,0.5540,0.005,0.000297,0.01978,,,,
24,54.0,135,1,0,5,-0.0072,10.7627,0.6718,0.000,0.000297,0.01977,,,,
25,-86.9,103,0,1,0,0.0009,17.8631,0.8063,0.013,0.000297,0.01976,,,,
26,-69.9,66,0,1,3,-0.0039,22.6617,0.6252,0.000,0.000296,0.01975,,,,
27,-69.2,55,0,1,0,-0.0030,22.0386,0.5376,0.000,0.000296,0.01974,,,,
28,77.7,59,1,0,0,0.0008,13.2964,1.1580,0.000,0.000296,0.01973,,,,
29,73.1,76,1,0,4,-0.0186,14.8536,0.6995,0.000,0.000296,0.01972,,,,
30,-65.0,58,0,1,0,0.0013,28.2896,0.4607,0.000,0.000296,0.01971,,,,
31,89.2,17,1,0,3,-0.0020,51.6422,0.9791,0.000,0.000296,0.01971,,,,
32,-51.2,4,0,1,0,0.0000,0.0000,0.0000,0.000,0.000296,0.01970,,,,
33,88.0,35,1,0,3,-0.0015,22.8495,0.8659,0.000,0.000296,0.01969,,,,
34,77.7,33,1,0,4,-0.0034,158.2630,1.2072,0.000,0.000295,0.01968,,,,
35,96.1,15,1,0,2,0.0023,30.7087,0.8513,0.000,0.000295,0.01967,,,,
36,77.2,87,1,0,0,-0.0168,8.7499,1.0334,0.000,0.000295,0.01966,,,,
37,-71.8,65,0,1,0,0.0071,22.1705,0.6106,0.000,0.000295,0.01965,,,,
38,-87.3,66,0,1,6,0.0115,35.8422,0.7463,0.000,0.000295,0.01964,,,,
39,-96.0,102,0,1,6,0.0073,18.1147,0.6895,0.000,0.000295,0.01963,,,,
40,-76.7,85,0,1,0,-0.0276,17.5057,0.5364,0.037,0.000295,0.01962,,,,
41,-68.6,200,0,0,0,0.0725,5.9920,0.6291,0.007,0.000294,0.01961,,,,
42,95.0,36,1,0,0,-0.0041,28.7878,0.7847,0.000,0.000294,0.01960,,,,
43,74.6,47,1,0,7,-0.0019,103.0330,0.9797,0.000,0.000294,0.01959,,,,
44,78.7,52,1,0,3,-0.0005,17.6247,1.1022,0.000,0.000294,0.01958,,,,
45,76.0,89,1,0,0,0.0051,53.8836,0.9817,0.000,0.000294,0.01957,,,,
46,-72.0,88,0,1,0,-0.0032,24.5549,0.4559,0.000,0.000294,0.01956,,,,
47,-66.6,22,0,1,3,-0.0033,48.2066,0.7216,0.000,0.000294,0.01955,,,,
48,100.9,13,1,0,0,0.0006,24.8297,1.0432,0.000,0.000294,0.01954,,,,
49,-88.2,200,0,0,4,-0.0154,13.2020,0.7042,0.002,0.000293,0.01953,,,,
50,90.9,200,1,0,0,-0.0011,17.4674,0.9132,0.000,0.000293,0.01953,-95.2,0.00,0.0,5.6
51,101.8,3,1,0,0,0.0000,0.0000,0.0000,0.000,0.000293,0.01952,,,,
52,-112.8,151,0,1,7,-0.0351,19.5848,0.8508,0.008,0.000293,0.01951,,,,
53,-63.7,48,0,1,0,-0.0048,34.7443,0.7928,0.000,0.000293,0.01950,,,,
54,-102.5,143,0,1,3,-0.0236,12.2266,0.7005,0.043,0.000293,0.01949,,,,
55,100.0,1,1,0,0,0.0000,0.0000,0.0000,0.000,0.000293,0.01948,,,,
56,92.5,38,1,0,2,-0.0049,16.2522,1.0249,0.000,0.000292,0.01947,,,,
