episode,ep_length,outcome,thief_reward,police0_reward,police1_reward,thief_pg_loss,thief_vf_loss,thief_entropy,police0_pg_loss,police0_vf_loss,police0_entropy,police1_pg_loss,police1_vf_loss,police1_entropy,thief_lr,police_lr,eval_catch_rate,eval_escape_rate,eval_trap_rate,eval_timeout_rate,eval_avg_steps
1,14,escaped,103.7,-51.3,-51.3,-0.0032,0.1025,0.0630,-0.0265,0.0412,0.9680,-0.0114,0.0393,0.7931,0.000050,0.000100,,,,,
2,61,caught,-100.0,44.0,94.0,-0.0061,88.8713,0.2723,0.0002,21.1266,0.8671,0.0010,101.7785,0.5306,0.000050,0.000100,,,,,
3,8,escaped,102.3,-50.7,-50.7,0.0001,0.0636,0.0571,-0.0056,0.0546,0.9526,-0.0027,0.0302,0.7977,0.000050,0.000100,,,,,
4,12,escaped,107.9,-51.1,-51.1,-0.0024,0.0368,0.1492,-0.0122,0.0388,0.9506,-0.0013,0.0099,0.7855,0.000050,0.000100,,,,,
5,50,trap,-53.9,-5.0,-5.0,-0.0000,28.1969,0.0007,0.0040,0.4546,0.9176,0.0019,0.4962,0.5676,0.000050,0.000100,,,,,
6,12,escaped,103.9,-51.1,-51.1,-0.0006,0.1734,0.0795,-0.0044,0.0463,0.8508,-0.0076,0.3093,0.7476,0.000050,0.000100,,,,,
7,13,escaped,110.8,-51.2,-51.2,-0.0001,0.0770,0.1507,-0.0060,0.0626,0.8468,-0.0071,0.0248,0.6976,0.000050,0.000100,,,,,
8,21,escaped,116.0,-52.0,-52.0,0.0003,1.1350,0.0705,0.0008,0.0833,0.8565,0.0001,0.0602,0.5808,0.000050,0.000100,,,,,
9,29,caught,-88.8,47.2,97.2,0.0000,153.3154,0.1140,-0.0011,43.9980,0.8329,0.0046,217.4442,0.5781,0.000050,0.000100,,,,,
10,7,escaped,103.4,-50.6,-50.6,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000050,0.000100,,,,,
11,20,escaped,101.8,-51.9,-51.9,0.0001,15.5449,0.1312,-0.0027,0.0569,0.8701,-0.0038,0.0533,0.8295,0.000050,0.000100,,,,,
12,9,caught,-98.0,49.2,99.2,0.0000,823.2907,0.1100,-0.0065,262.4242,0.5164,0.0017,1049.1004,0.6092,0.000050,0.000100,,,,,
13,23,escaped,113.8,-52.2,-52.2,-0.0000,20.4867,0.1675,-0.0001,0.1551,0.7758,-0.0003,209.8024,0.6122,0.000050,0.000100,,,,,
14,1,escaped,100.0,-50.0,-50.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000050,0.000100,,,,,
15,16,escaped,98.2,-51.5,-51.5,-0.0002,14.3126,0.1020,-0.0022,0.0244,0.7616,-0.0040,0.0157,0.7907,0.000050,0.000100,,,,,
16,24,escaped,91.4,-52.3,-52.3,-0.0015,33.2698,0.1131,-0.0006,0.9571,0.6187,0.0005,1.7137,0.6250,0.000050,0.000100,,,,,
17,72,escaped,91.3,-57.1,-57.1,0.0196,23.2812,0.0770,-0.0015,0.5321,0.9229,-0.0271,0.5624,0.7981,0.000050,0.000100,,,,,
18,18,escaped,105.3,-51.7,-51.7,-0.0012,0.0644,0.0971,-0.0022,0.1449,0.5203,-0.0010,0.5174,0.6464,0.000050,0.000100,,,,,
19,5,escaped,103.6,-50.4,-50.4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000050,0.000100,,,,,
20,30,caught,-103.2,47.1,97.1,0.0000,198.0659,0.0597,-0.0018,42.6783,0.5533,-0.0049,169.5702,0.6341,0.000050,0.000100,,,,,
21,9,escaped,101.2,-50.8,-50.8,-0.0000,0.1737,0.0268,-0.0024,0.1041,0.7571,-0.0169,0.0956,0.8804,0.000050,0.000100,,,,,
22,25,escaped,97.0,-52.4,-52.4,-0.0000,10.0816,0.1052,0.0008,0.0639,0.8734,-0.0050,0.0796,0.8737,0.000050,0.000100,,,,,
23,11,caught,-101.0,99.0,49.0,0.0000,269.7474,0.0373,-0.0062,467.4100,0.9958,0.0084,120.7591,0.8226,0.000050,0.000100,,,,,
24,19,escaped,87.6,-51.8,-51.8,0.0009,31.1642,0.0732,-0.0022,0.0488,0.6854,-0.0021,0.0586,0.8910,0.000050,0.000100,,,,,
25,15,caught,-93.4,98.6,48.6,-0.0010,284.3015,0.1608,-0.0090,307.4054,0.9199,0.0045,83.9976,0.8536,0.000050,0.000100,,,,,
26,21,escaped,114.0,-52.0,-52.0,-0.0000,0.0594,0.0424,0.0005,0.0372,0.7504,-0.0140,0.0303,0.6668,0.000050,0.000100,,,,,
27,104,escaped,104.7,-60.3,-60.3,0.0099,3.5568,0.1333,-0.0189,0.4733,0.7019,-0.0057,0.5449,0.5492,0.000050,0.000100,,,,,
28,1,caught,-100.0,100.0,50.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000050,0.000100,,,,,
29,110,escaped,92.1,-60.9,-60.9,0.0070,215.0468,0.0208,-0.0190,17.8039,0.9946,0.0166,10.7422,0.7711,0.000050,0.000100,,,,,
30,12,escaped,109.9,-51.1,-51.1,-0.0033,0.0609,0.1046,0.0004,0.2541,0.8513,-0.0327,2.8207,0.7574,0.000050,0.000100,,,,,
31,15,escaped,110.6,-51.4,-51.4,-0.0021,0.2675,0.1449,-0.0053,0.1875,0.7411,0.0126,0.5427,0.7633,0.000050,0.000100,,,,,
32,18,caught,-102.0,48.3,98.3,-0.0000,307.3852,0.1184,0.0085,79.0072,0.7675,0.0008,461.1217,0.6966,0.000050,0.000100,,,,,
33,11,escaped,109.0,-51.0,-51.0,0.0001,0.0444,0.1849,0.0015,0.1078,0.7316,-0.0038,0.0616,0.7470,0.000050,0.000100,,,,,
34,23,escaped,107.8,-52.2,-52.2,-0.0010,0.1849,0.0922,0.0001,0.0812,0.7452,-0.0007,0.0547,0.7768,0.000050,0.000100,,,,,
