episode,ep_reward,ep_length,reached_goal,pg_loss,vf_loss,entropy,clip_frac,lr,ent_coef,eval_avg_reward,eval_success_rate
1,74.9,102,1,0.0045,52.7530,1.6094,0.000,0.000300,0.01999,,
2,-46.6,200,0,0.0081,8.5581,1.6092,0.000,0.000300,0.01999,,
3,-69.3,200,0,0.0532,15.0052,1.6084,0.000,0.000300,0.01998,,
4,-52.3,200,0,0.0347,9.4938,1.6073,0.000,0.000300,0.01997,,
5,-55.8,200,0,0.0371,8.5201,1.6047,0.000,0.000300,0.01997,,
6,-62.9,200,0,0.0348,9.9231,1.6025,0.000,0.000299,0.01996,,
7,58.1,166,1,-0.0091,44.9371,1.5976,0.000,0.000299,0.01996,,
8,-63.1,200,0,-0.0197,8.3627,1.5844,0.045,0.000299,0.01995,,
9,52.5,132,1,0.0184,51.5585,1.5368,0.000,0.000299,0.01994,,
10,71.1,121,1,-0.0020,62.2178,1.5515,0.000,0.000299,0.01994,,
11,34.9,149,1,0.0040,47.9056,1.4578,0.004,0.000299,0.01993,,
12,87.5,72,1,-0.2208,209.5389,1.5335,0.000,0.000299,0.01992,,
13,96.6,9,1,-0.0051,663.1351,1.4286,0.000,0.000299,0.01992,,
14,46.8,112,1,-0.0058,77.1020,1.3997,0.000,0.000299,0.01991,,
15,104.7,29,1,0.0029,220.9662,1.5395,0.000,0.000299,0.01990,,
16,-58.6,200,0,0.0231,14.6440,1.4348,0.000,0.000299,0.01990,,
17,90.5,60,1,0.0003,107.6620,1.4593,0.000,0.000298,0.01989,,
18,101.2,48,1,0.0002,141.5117,1.4633,0.000,0.000298,0.01989,,
19,50.0,139,1,0.0294,56.4007,1.3713,0.000,0.000298,0.01988,,
20,105.1,20,1,-0.0067,326.7965,1.4753,0.000,0.000298,0.01987,,
21,-6.8,174,1,0.0102,86.4839,1.2886,0.000,0.000298,0.01987,,
22,104.5,6,1,0.0000,0.0000,0.0000,0.000,0.000298,0.01986,,
23,62.2,73,1,-0.0431,136.8061,1.2774,0.000,0.000298,0.01985,,
24,-127.8,200,0,0.0197,40.5766,1.3036,0.016,0.000298,0.01985,,
25,95.2,46,1,0.0014,150.1843,1.3922,0.000,0.000298,0.01984,,
26,55.7,85,1,0.0343,105.0680,1.3113,0.000,0.000298,0.01984,,
27,98.0,32,1,-0.0060,213.4228,1.4762,0.000,0.000298,0.01983,,
28,69.6,62,1,0.0015,119.1262,1.3257,0.000,0.000297,0.01982,,
29,103.3,15,1,-0.0003,465.3274,1.3883,0.000,0.000297,0.01982,,
30,-117.1,200,0,0.0679,33.1118,1.2941,0.000,0.000297,0.01981,,
31,-111.6,200,0,0.0428,27.4708,1.3053,0.034,0.000297,0.01980,,
32,69.3,100,1,0.0103,66.9552,1.4392,0.000,0.000297,0.01980,,
33,6.6,169,1,0.0152,64.6714,1.3530,0.000,0.000297,0.01979,,
34,23.0,176,1,-0.0107,61.3233,1.3587,0.019,0.000297,0.01978,,
35,104.1,10,1,0.0071,680.3915,1.4552,0.000,0.000297,0.01978,,
36,59.3,86,1,-0.0173,124.4935,1.3261,0.000,0.000297,0.01977,,
37,65.9,122,1,-0.0022,72.2095,1.3249,0.000,0.000297,0.01977,,
38,-115.1,200,0,0.0155,30.5800,1.2460,0.004,0.000297,0.01976,,
39,65.7,88,1,-0.0232,96.4213,1.2410,0.077,0.000296,0.01975,,
40,72.6,52,1,-0.0047,149.2097,1.2704,0.000,0.000296,0.01975,,
41,-86.5,200,0,-0.0075,11.3906,1.2455,0.023,0.000296,0.01974,,
42,101.7,14,1,-0.0090,575.1416,1.2105,0.000,0.000296,0.01973,,
43,5.5,167,1,0.0024,63.3328,1.1840,0.009,0.000296,0.01973,,
44,-137.2,200,0,0.0021,31.5994,1.2340,0.047,0.000296,0.01972,,
45,104.6,52,1,0.0014,180.3594,1.3291,0.000,0.000296,0.01971,,
46,105.4,7,1,0.0000,0.0000,0.0000,0.000,0.000296,0.01971,,
47,61.8,94,1,-0.0398,133.0387,1.2999,0.000,0.000296,0.01970,,
48,34.7,164,1,-0.0188,63.3134,1.3434,0.127,0.000296,0.01970,,
49,-28.6,200,0,-0.0028,10.3501,1.3908,0.152,0.000296,0.01969,,
50,62.4,200,1,0.0048,52.8313,1.3137,0.072,0.000295,0.01968,-214.6,0.00
51,77.6,76,1,-0.0196,134.9046,1.2510,0.000,0.000295,0.01968,,
52,9.8,140,1,-0.0962,137.7743,1.2110,0.000,0.000295,0.01967,,
53,96.4,37,1,0.0027,216.9450,1.2403,0.000,0.000295,0.01966,,
54,99.2,9,1,0.0018,854.1522,1.2049,0.000,0.000295,0.01966,,
55,103.5,16,1,-0.0003,465.2369,1.2129,0.000,0.000295,0.01965,,
56,105.2,29,1,-0.0002,266.8630,1.2547,0.000,0.000295,0.01965,,
57,94.1,50,1,-0.0004,160.9500,1.2366,0.000,0.000295,0.01964,,
58,102.5,6,1,0.0000,0.0000,0.0000,0.000,0.000295,0.01963,,
59,97.0,8,1,-0.0025,932.2514,1.1931,0.000,0.000295,0.01963,,
60,99.4,27,1,0.0002,268.6824,1.2575,0.000,0.000295,0.01962,,
61,86.7,64,1,-0.0002,114.0703,1.2574,0.000,0.000295,0.01961,,
62,100.9,2,1,0.0000,0.0000,0.0000,0.000,0.000294,0.01961,,
63,98.9,2,1,0.0000,0.0000,0.0000,0.000,0.000294,0.01960,,
64,100.0,1,1,0.0000,0.0000,0.0000,0.000,0.000294,0.01959,,
65,60.3,102,1,-0.0341,109.5339,1.2074,0.000,0.000294,0.01959,,
66,98.4,37,1,0.0039,190.1530,1.2547,0.000,0.000294,0.01958,,
67,63.6,62,1,-0.0002,112.4060,1.2328,0.000,0.000294,0.01958,,
68,76.9,39,1,0.0005,168.2603,1.2262,0.000,0.000294,0.01957,,
69,87.4,61,1,-0.0006,118.3675,1.2854,0.000,0.000294,0.01956,,
70,-139.2,200,0,-0.0166,42.9227,1.2240,0.000,0.000294,0.01956,,
71,87.8,20,1,-0.0008,302.6989,1.2500,0.000,0.000294,0.01955,,
72,96.3,28,1,0.0010,268.1141,1.3098,0.000,0.000294,0.01954,,
73,95.0,25,1,0.0006,286.3753,1.3315,0.000,0.000293,0.01954,,
74,102.2,56,1,0.0003,115.6646,1.3107,0.000,0.000293,0.01953,,
75,99.0,45,1,0.0011,162.5352,1.3205,0.000,0.000293,0.01953,,
76,79.3,69,1,-0.0076,119.0966,1.2935,0.000,0.000293,0.01952,,
77,98.2,59,1,0.0003,117.1367,1.3325,0.000,0.000293,0.01951,,
78,96.6,15,1,0.0012,434.5812,1.3562,0.000,0.000293,0.01951,,
79,29.5,110,1,0.0000,104.1115,1.2487,0.000,0.000293,0.01950,,
80,56.4,102,1,0.0016,72.0220,1.3168,0.000,0.000293,0.01949,,
81,87.3,72,1,0.0531,58.2368,1.3282,0.000,0.000293,0.01949,,
82,101.3,18,1,0.0004,349.4795,1.3711,0.000,0.000293,0.01948,,
83,80.3,73,1,-0.0102,115.6576,1.3348,0.000,0.000293,0.01947,,
84,-19.8,184,1,-0.0011,81.3773,1.2752,0.000,0.000292,0.01947,,
85,98.9,42,1,0.0001,152.9311,1.3460,0.000,0.000292,0.01946,,
86,68.3,62,1,-0.0006,107.9768,1.3080,0.000,0.000292,0.01946,,
87,51.2,123,1,-0.0008,60.0806,1.3263,0.000,0.000292,0.01945,,
88,67.1,100,1,0.0158,59.9453,1.3094,0.000,0.000292,0.01944,,
89,87.6,25,1,0.0002,221.8687,1.3140,0.000,0.000292,0.01944,,
90,-125.9,200,0,0.0146,42.2231,1.2886,0.000,0.000292,0.01943,,
91,16.5,194,1,-0.0070,47.8641,1.2928,0.000,0.000292,0.01942,,
92,98.5,26,1,0.0027,270.5299,1.3507,0.000,0.000292,0.01942,,
93,90.0,72,1,-0.0573,151.6814,1.3562,0.000,0.000292,0.01941,,
94,103.0,11,1,0.0008,632.0550,1.3629,0.000,0.000292,0.01940,,
95,77.1,114,1,0.0036,52.6139,1.3335,0.000,0.000291,0.01940,,
96,97.2,26,1,0.0004,227.7792,1.3837,0.000,0.000291,0.01939,,
97,-102.5,200,0,0.0464,32.3711,1.3112,0.000,0.000291,0.01939,,
98,80.6,103,1,0.0053,63.5960,1.3428,0.000,0.000291,0.01938,,
99,75.5,90,1,0.0379,61.0623,1.3108,0.000,0.000291,0.01937,,
100,92.2,200,1,-0.0004,181.4596,1.2804,0.000,0.000291,0.01937,-213.6,0.00
101,86.7,75,1,-0.0343,122.4461,1.2932,0.000,0.000291,0.01936,,
102,81.1,88,1,-0.0215,84.5871,1.2840,0.000,0.000291,0.01935,,
103,67.3,72,1,-0.1356,233.6893,1.2430,0.000,0.000291,0.01935,,
104,-89.8,200,0,-0.0187,22.9358,1.2279,0.000,0.000291,0.01934,,
105,98.2,19,1,-0.0028,337.6492,1.2312,0.000,0.000291,0.01934,,
106,106.2,19,1,-0.0014,370.9229,1.2496,0.000,0.000290,0.01933,,
107,1.8,185,1,-0.0042,59.3513,1.1884,0.000,0.000290,0.01932,,
108,77.4,84,1,-0.0185,110.7254,1.1852,0.000,0.000290,0.01932,,
109,16.6,189,1,-0.0014,56.3150,1.1678,0.000,0.000290,0.01931,,
110,69.0,68,1,0.0176,111.7707,1.2209,0.000,0.000290,0.01930,,
111,95.4,27,1,0.0003,210.3895,1.2989,0.000,0.000290,0.01930,,
112,70.1,67,1,0.0031,98.5766,1.2243,0.000,0.000290,0.01929,,
113,104.0,35,1,0.0006,182.2270,1.2754,0.000,0.000290,0.01928,,
114,73.0,65,1,0.0026,100.6841,1.2700,0.000,0.000290,0.01928,,
115,89.6,56,1,0.0001,105.1848,1.2982,0.000,0.000290,0.01927,,
116,-131.2,200,0,-0.0017,37.0070,1.2386,0.000,0.000290,0.01927,,
117,-77.3,200,0,0.0425,16.6051,1.2377,0.000,0.000289,0.01926,,
118,54.9,136,1,-0.1176,147.6251,1.2254,0.033,0.000289,0.01925,,
119,64.4,54,1,0.0002,125.3927,1.2390,0.000,0.000289,0.01925,,
120,69.3,89,1,0.0193,58.4707,1.2681,0.000,0.000289,0.01924,,
121,87.7,14,1,-0.0018,392.5184,1.2599,0.000,0.000289,0.01923,,
122,67.8,80,1,0.0181,113.3007,1.2705,0.000,0.000289,0.01923,,
123,-110.6,200,0,0.0521,34.7304,1.2533,0.000,0.000289,0.01922,,
124,80.5,40,1,-0.0022,165.1174,1.3086,0.000,0.000289,0.01921,,
125,-113.9,200,0,-0.0331,30.9205,1.2461,0.008,0.000289,0.01921,,
126,-99.9,200,0,-0.0236,15.9786,1.2424,0.002,0.000289,0.01920,,
127,92.3,39,1,0.0015,182.9552,1.2818,0.000,0.000289,0.01920,,
128,-95.9,200,0,-0.0027,20.5596,1.1954,0.426,0.000288,0.01919,,
129,104.5,23,1,-0.0009,380.5826,1.2129,0.000,0.000288,0.01918,,
130,6.6,186,1,-0.0026,55.0880,1.1315,0.000,0.000288,0.01918,,
131,58.3,133,1,0.0046,75.7672,1.1919,0.000,0.000288,0.01917,,
132,-92.6,200,0,-0.0222,16.7842,1.2100,0.084,0.000288,0.01916,,
133,97.2,26,1,0.0007,342.7263,1.2929,0.000,0.000288,0.01916,,
134,-97.2,200,0,0.0084,17.5043,1.2367,0.000,0.000288,0.01915,,
135,-79.1,200,0,-0.0280,13.3763,1.2876,0.332,0.000288,0.01914,,
136,64.5,134,1,0.0087,64.9327,1.3051,0.000,0.000288,0.01914,,
137,61.0,165,1,-0.0036,58.6064,1.3094,0.002,0.000288,0.01913,,
138,91.4,27,1,-0.0001,337.9366,1.2946,0.000,0.000288,0.01913,,
139,86.2,53,1,-0.0011,174.7091,1.2689,0.000,0.000287,0.01912,,
140,104.6,35,1,-0.0018,280.4433,1.2923,0.000,0.000287,0.01911,,
141,99.2,43,1,-0.0008,181.5233,1.2895,0.000,0.000287,0.01911,,
142,62.2,90,1,-0.0083,97.0274,1.2438,0.000,0.000287,0.01910,,
143,95.5,73,1,0.0627,87.3746,1.2364,0.000,0.000287,0.01909,,
144,48.0,123,1,0.0020,67.8398,1.2284,0.000,0.000287,0.01909,,
145,87.1,34,1,-0.0009,195.3329,1.2367,0.000,0.000287,0.01908,,
146,108.9,39,1,0.0005,253.8825,1.2340,0.000,0.000287,0.01908,,
147,-101.9,200,0,0.0350,18.7889,1.1952,0.027,0.000287,0.01907,,
148,105.5,16,1,-0.0018,431.9845,1.2769,0.000,0.000287,0.01906,,
149,-84.6,200,0,0.0050,21.2343,1.2418,0.019,0.000287,0.01906,,
150,94.5,200,1,-0.1094,187.4055,1.2627,0.000,0.000286,0.01905,-180.6,0.10
151,64.7,84,1,-0.0616,112.9060,1.2548,0.000,0.000286,0.01904,,
152,72.9,96,1,-0.0071,85.9632,1.2695,0.000,0.000286,0.01904,,
153,75.5,84,1,-0.0204,100.7276,1.2756,0.000,0.000286,0.01903,,
154,93.7,51,1,0.0005,123.2481,1.3254,0.000,0.000286,0.01902,,
155,82.1,64,1,0.0011,109.5761,1.3114,0.000,0.000286,0.01902,,
156,-95.3,200,0,0.0237,21.1476,1.2748,0.000,0.000286,0.01901,,
157,81.4,87,1,0.0259,71.8274,1.2960,0.000,0.000286,0.01901,,
158,81.2,49,1,-0.0009,164.0850,1.2827,0.000,0.000286,0.01900,,
159,76.3,79,1,0.0610,72.3370,1.3099,0.000,0.000286,0.01899,,
160,73.2,66,1,0.0266,104.0948,1.2802,0.000,0.000286,0.01899,,
